Utility ID,Generator ID
6,6
6,6
6,6
6,6
6,6
6,6
6,6
8,8
8,8
8,8
8,8
8,8
8,8
8,8
8,8
8,8
8,8
8,8
8,8
Many,CT3
Many,CT3
Many,CT3
Many,CT3
Many,CT3
Many,CT3
Many,CT3
Many,CT3
Many,CT3
Many,CT3
Many,CT3
Many,CT3
Many,CT4
Many,CT4
Many,CT4
Many,CT4
Many,CT4
Many,CT4
Many,CT4
Many,CT4
Many,CT4
Many,CT4
Many,CT4
Many,CT4
2,CW
2,CW
2,CW
2,CW
2,CW
2,CW
2,CW
2,CW
2,CW
2,CW
2,CW
2,CW
Many,Many
Many,Many
Many,Many
Many,Many
Many,Many
Many,Many
Many,Many
Many,Many
Many,Many
Many,Many
Many,Many
Many,Many
Many,Many
Many,Many
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
Many,2
Many,2
Many,2
Many,2
Many,2
Many,2
Many,2
Many,2
Many,2
Many,2
Many,2
Many,2
Many,30
Many,30
Many,30
Many,30
Many,30
Many,30
Many,30
Many,30
Many,30
Many,30
Many,30
Many,30
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
Many,8
Many,8
Many,8
Many,8
Many,8
Many,8
Many,8
Many,8
Many,8
Many,8
Many,8
Many,8
Many,5
Many,5
Many,5
Many,5
Many,5
Many,5
Many,5
Many,5
Many,5
Many,5
Many,5
Many,5
Many,CW12
Many,CW12
Many,CW12
Many,CW12
Many,CW12
Many,CW12
Many,CW12
Many,CW12
Many,CW12
Many,CW12
Many,CW12
Many,CW12
Many,8
Many,8
Many,8
Many,8
Many,8
Many,8
Many,8
Many,8
Many,8
Many,8
Many,8
Many,8
Many,Many
Many,Many
Many,Many
Many,Many
Many,Many
Many,Many
Many,Many
Many,Many
Many,Many
Many,Many
Many,Many
Many,Many
Many,Many
Many,Many
Many,Many
Many,Many
Many,Many
Many,Many
Many,Many
Many,Many
Many,Many
Many,Many
Many,Many
Many,Many
Many,Many
Many,Many
Many,Many
Many,Many
Many,Many
Many,Many
Many,Many
Many,Many
Many,Many
Many,Many
Many,Many
Many,Many
Many,MCWCT
Many,MCWCT
Many,MCWCT
Many,MCWCT
Many,MCWCT
Many,MCWCT
Many,MCWCT
Many,MCWCT
Many,MCWCT
Many,MCWCT
Many,MCWCT
Many,MCWCT
Many,VCT
Many,VCT
Many,VCT
Many,VCT
Many,VCT
Many,VCT
Many,VCT
Many,VCT
Many,VCT
Many,VCT
Many,VCT
Many,VCT
5,5
5,5
5,5
5,5
5,5
5,5
5,5
5,5
5,5
5,5
5,5
5,5
6,6
6,6
6,6
6,6
6,6
6,6
6,6
6,6
6,6
6,6
6,6
6,6
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
Many,B
Many,B
Many,B
Many,B
Many,B
Many,B
Many,B
Many,B
Many,B
Many,B
Many,B
Many,B
2,CIRC2
2,CIRC2
2,CIRC2
2,CIRC2
2,CIRC2
2,CIRC2
2,CIRC2
2,CIRC2
2,CIRC2
2,CIRC2
2,CIRC2
2,CIRC2
3,CIRC3
3,CIRC3
3,CIRC3
3,CIRC3
3,CIRC3
3,CIRC3
3,CIRC3
3,CIRC3
3,CIRC3
3,CIRC3
3,CIRC3
3,CIRC3
Many,5
Many,5
Many,5
Many,5
Many,5
Many,5
Many,5
Many,5
Many,5
Many,5
Many,5
Many,5
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
5,5
5,5
5,5
5,5
5,5
5,5
5,5
5,5
5,5
5,5
5,5
5,5
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
Many,CW
Many,CW
Many,CW
Many,CW
Many,CW
Many,CW
Many,CW
Many,CW
Many,CW
Many,CW
Many,CW
Many,CW
Many,FM2
Many,FM2
Many,FM2
Many,FM2
Many,FM2
Many,FM2
Many,FM2
Many,FM2
Many,FM2
Many,FM2
Many,FM2
Many,FM2
Many,5CWS
Many,5CWS
Many,5CWS
Many,5CWS
Many,5CWS
Many,5CWS
Many,5CWS
Many,5CWS
Many,5CWS
Many,5CWS
Many,5CWS
Many,5CWS
Many,RBCT5
Many,RBCT5
Many,RBCT5
Many,RBCT5
Many,RBCT5
Many,RBCT5
Many,RBCT5
Many,RBCT5
Many,RBCT5
Many,RBCT5
Many,RBCT5
Many,RBCT5
Many,3CWS
Many,3CWS
Many,3CWS
Many,3CWS
Many,3CWS
Many,3CWS
Many,3CWS
Many,3CWS
Many,3CWS
Many,3CWS
Many,3CWS
Many,3CWS
Many,CT5
